conv_type,net_type,mean_val,std_val,mean_test,std_test
valid,Net1,100.0,0.0,0.09,0.11357816691600546
sconv,Net1,98.89000000000001,0.20223748416156623,6.530000000000001,0.35510561809129404
fconv,Net1,87.77,0.5710516614107686,88.78999999999999,0.5647123161398216
circular,Net1,99.4,0.9726253132630263,82.68000000000002,3.6888480586763146
reflect,Net1,100.0,0.0,0.0,0.0
replicate,Net1,98.47999999999999,0.41665333311999225,92.6,1.7922053453775888
